CustomerName,CustomerPhone,DueDate,GovId,Id,InterestRate,MetalType,PrincipalAmount,ProductDescription,Purity,StartDate,Status,TotalRepaid,Weight
Ravi Kumar,9982096303,2026-05-19,HQ10JTM7I2,L-00600,1.83,GOLD,446766,Gold Earrings,22K,2024-02-03,OVERDUE,22642,6.21
Meena Singh,9144542497,2026-08-30,I8W55LYDVD,L-00601,1.69,GOLD,270913,Gold Earrings,22K,2023-11-17,ACTIVE,77914,12.55
Lata Reddy,9786271502,2025-09-10,9J8JQ8STG4,L-00602,0.70,GOLD,191740,Gold Necklace Set,22K,2023-11-23,ACTIVE,62640,4.11
Gaurav Das,9946007587,2025-03-22,23P89ZCTK3,L-00603,0.83,GOLD,255697,Gold Bracelet,22K,2023-09-13,OVERDUE,100806,13.58
Gaurav Agarwal,9291887417,2026-04-05,IXR5F6XZHT,L-00604,0.56,GOLD,100237,Gold Bracelet,22K,2024-05-04,CLOSED,15322,25.85
Pooja Verma,9143613793,2025-04-09,9Q5JFY52TX,L-00605,1.88,GOLD,325408,Gold Chain (Man),22K,2025-09-27,ACTIVE,41534,7.56
Neha Kumar,9582902985,2026-08-02,Z9E28HGWOJ,L-00606,1.77,GOLD,149131,Gold Bangles (4 pcs),22K,2023-03-16,ACTIVE,63102,20.7
Kavita Verma,9493954715,2025-01-20,X5K91MWEJD,L-00607,1.53,GOLD,66892,Gold Necklace Set,22K,2025-07-22,CLOSED,26143,10.87
Nitin Bose,9917074923,2025-07-23,11RW58LZ0L,L-00608,1.36,GOLD,144990,Gold Chain (Man),22K,2024-12-11,ACTIVE,61974,10.59
Rohit Pillai,9215105993,2026-07-12,A74B82CYQU,L-00609,0.69,GOLD,492451,Gold Necklace Set,22K,2023-10-18,ACTIVE,54183,31.85
Suresh Reddy,9368102399,2026-09-19,9VH7TF7J5Y,L-00610,1.74,GOLD,27040,Gold Ring,22K,2023-10-01,OVERDUE,2574,5.23
Suresh Shah,9151564450,2026-09-17,S6LXXX1R00,L-00611,1.05,GOLD,357151,Gold Earrings,22K,2024-10-12,ACTIVE,85502,5.83
Manoj Iyer,9278510234,2025-08-21,I3YU23UVBE,L-00612,1.90,GOLD,458471,Gold Chain (Man),22K,2025-06-27,CLOSED,142109,7.42
Anita Singh,9496521513,2025-09-27,0E2LYCWJMX,L-00613,0.87,GOLD,15860,Gold Ring,22K,2025-01-16,OVERDUE,6009,7.93
Sanjay Desai,9805369960,2026-10-29,M304HZ4MK8,L-00614,2.04,GOLD,95466,Gold Chain (Man),22K,2023-06-30,ACTIVE,41745,11
Arun Modi,9791429330,2025-02-25,STDLUWTIUU,L-00615,2.29,GOLD,463356,Gold Bangles (4 pcs),22K,2024-08-10,ACTIVE,22401,20.59
Lata Nair,9333767246,2025-09-20,2DGK03BF7T,L-00616,1.62,GOLD,297577,Gold Chain (Man),22K,2024-10-01,CLOSED,145886,25.61
Sanjay Verma,9895899264,2025-06-05,4X8XXY51N3,L-00617,1.92,GOLD,127953,Gold Chain (Man),22K,2024-06-13,ACTIVE,3104,12.12
Anjali Iyer,9947431654,2026-02-09,6XWYB8CMAU,L-00618,0.64,GOLD,433784,Gold Earrings,22K,2025-04-11,OVERDUE,84670,2.07
Ashok Pillai,9290363439,2026-02-04,H3M5LGTN55,L-00619,1.17,GOLD,256834,Gold Bracelet,22K,2025-09-04,ACTIVE,104189,15.41
Nitin Pillai,9851334728,2026-11-21,D2YCK7HD9R,L-00620,0.51,GOLD,35300,Gold Bangles (4 pcs),22K,2023-01-21,CLOSED,17361,27.85
Rekha Shah,9470335176,2025-08-15,4A9P6CFOTE,L-00621,1.06,GOLD,351828,Gold Chain (Man),22K,2024-03-27,ACTIVE,2752,18.47
Vikram Pillai,9339895156,2026-08-25,DABL9ECQP4,L-00622,1.74,GOLD,32005,Gold Bracelet,22K,2025-01-14,CLOSED,7349,4.27
Sunita Desai,9895033588,2025-04-10,PT3JTIZNGM,L-00623,0.84,GOLD,464359,Gold Bangles (4 pcs),22K,2023-04-19,OVERDUE,81310,19.01
Gaurav Singh,9246606632,2026-05-12,25IX5RHKR6,L-00624,2.33,GOLD,389909,Gold Earrings,22K,2024-09-21,ACTIVE,131977,10.74
Arun Mehta,9500203190,2026-08-22,62NQHDWEPZ,L-00625,1.45,GOLD,229281,Gold Necklace Set,22K,2025-01-09,OVERDUE,102225,24.7
Deepak Patel,9506868879,2025-12-29,31FOWXVXNY,L-00626,0.55,GOLD,420585,Gold Bracelet,22K,2025-09-27,OVERDUE,164998,24.31
Manoj Chopra,9604395975,2025-06-22,IRSH1TFOJV,L-00627,2.22,GOLD,258712,Gold Bracelet,22K,2024-01-11,ACTIVE,64719,9.03
Rohit Agarwal,9827697785,2025-12-16,V8ILFNA2HN,L-00628,0.85,GOLD,173131,Gold Necklace Set,22K,2023-12-18,ACTIVE,19442,7.11
Kavita Modi,9587657186,2025-05-25,8VS9XANTXD,L-00629,0.82,GOLD,62765,Gold Bracelet,22K,2024-06-07,ACTIVE,1758,3.14
Sunita Shah,9735603530,2025-03-24,V2W4100C0Z,L-00630,1.05,GOLD,151940,Gold Earrings,22K,2024-03-09,ACTIVE,75395,17.74
Anjali Pillai,9150698418,2025-12-24,0ECVWHCGTG,L-00631,1.76,GOLD,309500,Gold Bangles (4 pcs),22K,2023-12-09,ACTIVE,13240,20.56
Sanjay Jain,9254953132,2025-07-31,BGNMNI2GVA,L-00632,2.03,GOLD,397715,Gold Earrings,22K,2024-07-22,CLOSED,191323,25.33
Arun Mehta,9673316707,2026-05-19,LC4RKOGVWX,L-00633,1.70,GOLD,467598,Gold Bangles (4 pcs),22K,2025-05-25,OVERDUE,221729,17.24
Priya Pillai,9969353267,2026-05-07,4WOFSWQHHO,L-00634,1.71,GOLD,458227,Gold Bangles (4 pcs),22K,2025-10-14,ACTIVE,102051,21.76
Meena Reddy,9340137901,2025-06-30,WIIJPUBEOE,L-00635,1.65,GOLD,104252,Gold Chain (Man),22K,2025-09-11,ACTIVE,16835,5.96
Suresh Gupta,9940182404,2025-05-04,6NRADZLVNE,L-00636,0.98,GOLD,44762,Gold Necklace Set,22K,2024-08-11,OVERDUE,22286,28.94
Pooja Patel,9225988261,2026-08-05,ZARPC219FO,L-00637,1.50,GOLD,467245,Gold Bracelet,22K,2025-03-27,CLOSED,183932,13.81
Neha Shah,9151146441,2025-10-20,60I9PDIIF4,L-00638,1.00,GOLD,135309,Gold Necklace Set,22K,2023-03-09,ACTIVE,35610,30.6
Lata Iyer,9724433949,2025-05-04,VFB6CY4A4K,L-00639,1.72,GOLD,95722,Gold Bangles (4 pcs),22K,2023-03-02,ACTIVE,45768,15.08
Rajesh Singh,9419326726,2026-12-19,E6Q01MGRPI,L-00640,1.63,GOLD,265965,Gold Ring,22K,2023-07-17,ACTIVE,125167,22.88
Ravi Nair,9908956591,2026-01-02,9QZZZNPACV,L-00641,1.26,GOLD,103646,Gold Necklace Set,22K,2023-11-26,CLOSED,43086,27.96
Priya Pillai,9501982475,2025-01-21,SQ59GZYR56,L-00642,0.70,GOLD,255409,Gold Ring,22K,2023-09-27,OVERDUE,84771,16.78
Rekha Shah,9857083715,2025-09-02,Y268QNQ8SW,L-00643,0.73,GOLD,344313,Gold Bangles (4 pcs),22K,2025-08-29,ACTIVE,104150,9.25
Ashok Pillai,9937235625,2025-07-13,SBPTVTAT8T,L-00644,0.98,GOLD,474173,Gold Bracelet,22K,2025-10-21,CLOSED,58659,2.91
Neha Reddy,9562124621,2025-04-06,KYR7K3NVAE,L-00645,1.79,GOLD,106174,Gold Bracelet,22K,2025-07-24,ACTIVE,11374,3.17
Ravi Singh,9522413536,2025-08-09,T15N64DT3T,L-00646,1.24,GOLD,318340,Gold Ring,22K,2024-12-28,ACTIVE,132976,6.47
Kavita Reddy,9919948819,2026-03-03,SOD180J1T4,L-00647,1.39,GOLD,484202,Gold Bangles (4 pcs),22K,2023-10-14,ACTIVE,29306,3.23
Meena Gupta,9881059057,2025-05-11,F6LIE5810D,L-00648,0.50,GOLD,263446,Gold Bracelet,22K,2024-12-21,ACTIVE,117317,12.67
Pooja Modi,9375502869,2026-10-13,AVUW10UJ5F,L-00649,0.93,GOLD,38297,Gold Earrings,22K,2023-03-05,ACTIVE,16166,26.45
Lata Shah,9615961666,2025-07-19,TEOI4UB2G7,L-00650,1.05,GOLD,282610,Gold Ring,22K,2024-06-12,ACTIVE,104014,24.82
Ashok Patel,9155850219,2026-07-11,EHQRDHI4L5,L-00651,0.87,GOLD,121827,Gold Ring,22K,2023-09-18,OVERDUE,47380,27.35
Kavita Jain,9872211954,2026-01-24,2P4J42TN75,L-00652,1.02,GOLD,68431,Gold Bracelet,22K,2025-10-26,CLOSED,12215,17.5
Anjali Trivedi,9340656894,2025-10-23,MJ6K7BBHNM,L-00653,1.73,GOLD,26779,Gold Bangles (4 pcs),22K,2024-11-17,ACTIVE,9917,28.61
Amit Trivedi,9861936751,2026-02-03,1RCJACBGE8,L-00654,2.00,GOLD,374548,Gold Bracelet,22K,2023-03-25,ACTIVE,13778,9.23
Neha Reddy,9353380675,2026-05-06,AVU3PWPTEX,L-00655,1.39,GOLD,419803,Gold Necklace Set,22K,2025-04-28,ACTIVE,33202,18
Swati Shah,9748708717,2026-08-18,X4L1OKIWB4,L-00656,1.26,GOLD,78502,Gold Ring,22K,2025-03-09,ACTIVE,1808,25.55
Neha Patel,9783913547,2026-07-31,TEVY8T2IK4,L-00657,1.45,GOLD,411913,Gold Chain (Man),22K,2024-11-20,CLOSED,95253,28.28
Ravi Chopra,9372158474,2025-05-02,CCTNTXVQA4,L-00658,1.10,GOLD,388771,Gold Chain (Man),22K,2025-07-16,CLOSED,43377,2.13
Anjali Kumar,9726669881,2025-11-06,568QFSV76B,L-00659,0.54,GOLD,411440,Gold Ring,22K,2024-09-11,ACTIVE,38610,25.71
Rohit Mehta,9900863660,2025-02-07,WGMWAJCTM5,L-00660,2.32,GOLD,16930,Gold Earrings,22K,2025-03-19,ACTIVE,4914,20.67
Swati Mehta,9560864383,2025-06-03,92RSNP5ZEC,L-00661,2.44,GOLD,234892,Gold Necklace Set,22K,2024-07-04,ACTIVE,52044,24.98
Neha Gupta,9233133465,2026-04-19,6OTE5VM8LC,L-00662,2.32,GOLD,327681,Gold Chain (Man),22K,2025-06-04,ACTIVE,57346,14.67
Rajesh Chopra,9277376295,2025-03-05,ND8MU972P0,L-00663,1.64,GOLD,198802,Gold Ring,22K,2024-05-28,ACTIVE,40700,16.52
Swati Nair,9875031054,2025-12-16,EL855R8WKF,L-00664,2.24,GOLD,302417,Gold Ring,22K,2025-07-22,CLOSED,9824,17.45
Sita Sharma,9728492467,2026-08-03,V977MGBLBL,L-00665,1.61,GOLD,444787,Gold Bangles (4 pcs),22K,2024-07-20,ACTIVE,10469,26.81
Neha Das,9849447989,2025-07-28,LIJ4JFLQWS,L-00666,2.27,GOLD,128773,Gold Chain (Man),22K,2023-01-01,ACTIVE,10791,3.65
Anjali Singh,9210363703,2026-11-13,EF5ZWHDV7J,L-00667,0.53,GOLD,166072,Gold Chain (Man),22K,2025-01-13,ACTIVE,71147,16.72
Amit Chopra,9681319473,2025-06-07,6257AO4D51,L-00668,1.76,GOLD,476537,Gold Ring,22K,2024-05-08,OVERDUE,170917,13.25
Amit Desai,9465364523,2026-12-04,4BH0M7PJFM,L-00669,0.80,GOLD,484956,Gold Necklace Set,22K,2025-01-19,CLOSED,48469,26.81
Swati Modi,9500561168,2025-04-29,IY81XTCHWN,L-00670,1.38,GOLD,296216,Gold Bracelet,22K,2024-05-21,ACTIVE,92900,4.2
Arun Jain,9842579276,2025-09-17,3G4TPKDZKB,L-00671,1.95,GOLD,474794,Gold Chain (Man),22K,2024-12-10,ACTIVE,153633,16.98
Sita Gupta,9169478000,2026-02-03,A51ID6NFE9,L-00672,2.45,GOLD,306075,Gold Chain (Man),22K,2025-01-04,OVERDUE,8163,29.16
Sunita Sharma,9230157753,2025-10-15,0GOH99LV3J,L-00673,2.46,GOLD,11542,Gold Ring,22K,2025-11-12,ACTIVE,3506,17.14
Arun Mehta,9642009100,2025-09-04,ZALO3K5FJ8,L-00674,2.31,GOLD,311476,Gold Earrings,22K,2023-12-15,ACTIVE,75275,22.64
Rekha Reddy,9270735201,2025-04-11,YQNWZJZDKK,L-00675,0.83,GOLD,400933,Gold Earrings,22K,2025-04-28,CLOSED,178624,4.7
Manoj Sharma,9755764015,2026-03-25,1MP52OMBB8,L-00676,1.18,GOLD,233246,Gold Earrings,22K,2023-03-02,ACTIVE,18353,5.2
Sita Kumar,9288450660,2026-04-14,I5L95N43F2,L-00677,1.60,GOLD,66702,Gold Ring,22K,2025-03-28,OVERDUE,19346,5.32
Anita Sharma,9158344303,2026-01-24,LGR77JNUG5,L-00678,2.48,GOLD,249836,Gold Chain (Man),22K,2023-05-03,ACTIVE,67091,8.25
Ashok Das,9443774563,2025-03-21,6D8FTG7FXF,L-00679,1.33,GOLD,218413,Gold Necklace Set,22K,2023-03-10,CLOSED,92374,22.79
Ravi Das,9451047732,2026-10-23,A64IVFIHXN,L-00680,1.75,GOLD,461290,Gold Chain (Man),22K,2024-01-13,OVERDUE,61448,23.45
Arun Jain,9862921301,2025-10-15,W7GP21JCC6,L-00681,1.85,GOLD,229276,Gold Ring,22K,2024-12-21,CLOSED,1537,30.55
Neha Singh,9504951400,2026-09-07,P3KZWCE98I,L-00682,1.00,GOLD,295590,Gold Bangles (4 pcs),22K,2023-05-21,OVERDUE,123822,26.82
Priya Patel,9438642030,2025-09-13,H0I9MNI738,L-00683,1.22,GOLD,110300,Gold Necklace Set,22K,2024-11-07,ACTIVE,38168,17.63
Rohit Nair,9247299302,2025-01-21,D5ZJB3E2KH,L-00684,1.24,GOLD,134516,Gold Necklace Set,22K,2025-12-23,ACTIVE,62256,30.5
Deepak Das,9918718933,2025-05-24,XB4UUNSWDS,L-00685,0.93,GOLD,477440,Gold Bangles (4 pcs),22K,2024-09-16,CLOSED,195460,31.5
Anita Mehta,9377432991,2025-12-18,SSBR098CCT,L-00686,0.61,GOLD,298465,Gold Bracelet,22K,2023-04-03,ACTIVE,139352,23.16
Rajesh Reddy,9674147889,2026-08-05,W72ZFKTWXD,L-00687,1.10,GOLD,464286,Gold Bracelet,22K,2024-03-30,ACTIVE,159649,28.56
Priya Reddy,9777520221,2026-07-07,7ATJVZRTW5,L-00688,2.21,GOLD,464736,Gold Chain (Man),22K,2023-04-10,ACTIVE,97659,25.4
Vikram Shah,9479034851,2025-12-27,FW2BHJW1DQ,L-00689,1.88,GOLD,396276,Gold Chain (Man),22K,2024-07-04,ACTIVE,165219,7.8
Lata Shah,9297843031,2025-10-26,0H5WNT29UX,L-00690,1.76,GOLD,418159,Gold Ring,22K,2024-11-13,ACTIVE,203692,6.02
Deepak Patel,9204279283,2026-06-07,XCRGRO80BC,L-00691,1.24,GOLD,14265,Gold Ring,22K,2023-06-20,CLOSED,1568,11.36
Ashok Mehta,9987749101,2025-09-14,VGJ7WWY42T,L-00692,1.43,GOLD,294189,Gold Necklace Set,22K,2024-06-17,ACTIVE,136513,19.38
Anjali Mehta,9121653180,2025-12-31,H56FD7NSHI,L-00693,1.60,GOLD,366374,Gold Ring,22K,2024-05-02,CLOSED,106140,15.44
Priya Modi,9458439135,2026-03-12,NAP3VQNJTB,L-00694,2.39,GOLD,67208,Gold Earrings,22K,2025-11-06,OVERDUE,510,5.41
Amit Das,9996486847,2026-04-22,RPWIEA8T2U,L-00695,1.03,GOLD,197031,Gold Bracelet,22K,2023-02-23,ACTIVE,11176,6.48
Meena Sharma,9685407936,2026-12-13,AWMC5GBDBM,L-00696,0.52,GOLD,190998,Gold Necklace Set,22K,2025-09-19,OVERDUE,94397,4.26
Rajesh Verma,9103705002,2025-10-18,FTY5ZUBCZF,L-00697,1.15,GOLD,122459,Gold Necklace Set,22K,2025-01-07,CLOSED,26976,10.23
Sita Bose,9284374377,2026-10-18,G6ZZBX57CM,L-00698,1.96,GOLD,312859,Gold Chain (Man),22K,2024-01-02,ACTIVE,11067,19.5
Arun Gupta,9891179576,2025-04-07,IEIGZ85L0N,L-00699,0.72,GOLD,306144,Gold Chain (Man),22K,2024-06-30,ACTIVE,102397,13.87
Kavita Pillai,9193626740,2025-07-07,G9H25NANB9,L-00700,2.06,GOLD,82950,Gold Necklace Set,22K,2025-01-21,ACTIVE,1188,30.93
Rohit Mehta,9969381601,2026-03-07,P5KPH6DWOV,L-00701,2.08,GOLD,155820,Gold Chain (Man),22K,2024-01-31,ACTIVE,27986,9.61
Neha Kumar,9208133953,2025-03-14,5YJ6C5SQE7,L-00702,0.74,GOLD,172496,Gold Bangles (4 pcs),22K,2025-11-25,ACTIVE,50593,24.14
Sunita Desai,9214231784,2025-10-03,YAB2XEL80K,L-00703,2.29,GOLD,441947,Gold Earrings,22K,2024-01-15,ACTIVE,14393,27.24
Sita Pillai,9309840407,2025-06-29,14HDBCMFO2,L-00704,0.65,GOLD,419497,Gold Earrings,22K,2023-09-08,CLOSED,142433,30.91
Sanjay Verma,9519894252,2025-09-12,VP19RNWY8U,L-00705,1.23,GOLD,326356,Gold Bracelet,22K,2024-03-13,OVERDUE,152052,8.44
Suresh Nair,9289851421,2025-01-04,1FB2BCC4HB,L-00706,2.18,GOLD,340865,Gold Necklace Set,22K,2023-03-22,ACTIVE,144786,14.93
Sita Das,9383707224,2026-06-21,Y6APHQHH2V,L-00707,1.40,GOLD,34561,Gold Ring,22K,2025-07-07,ACTIVE,12950,14.21
Pooja Reddy,9896861176,2025-02-22,D8KS9VKC3K,L-00708,0.68,GOLD,329647,Gold Bracelet,22K,2024-11-24,ACTIVE,80475,18.26
Rohit Desai,9922297174,2025-07-11,ML0HF4HJ86,L-00709,0.81,GOLD,449867,Gold Ring,22K,2025-11-03,ACTIVE,156809,25.43
Swati Reddy,9369405487,2026-04-05,ILOCKOG0I8,L-00710,0.83,GOLD,389747,Gold Ring,22K,2023-10-07,CLOSED,145338,5.29
Neha Reddy,9144047842,2026-06-05,2A1V3MF4ZZ,L-00711,0.62,GOLD,270739,Gold Necklace Set,22K,2024-07-21,ACTIVE,44005,2.54
Manoj Singh,9652382320,2025-09-11,8SHLGWW3JO,L-00712,1.28,GOLD,184874,Gold Ring,22K,2025-05-23,CLOSED,7462,18.27
Manoj Agarwal,9477132035,2025-09-23,US8R6YD3VN,L-00713,1.44,GOLD,184168,Gold Bangles (4 pcs),22K,2023-05-28,CLOSED,75192,2.51
Rajesh Nair,9577407022,2026-05-01,7HP14M6F3W,L-00714,0.69,GOLD,403096,Gold Chain (Man),22K,2023-05-04,ACTIVE,61813,8.51
Swati Patel,9795892632,2025-08-19,9MFDKO7TYF,L-00715,1.35,GOLD,114546,Gold Earrings,22K,2024-11-12,ACTIVE,52651,23.34
Sunita Iyer,9338180167,2025-06-01,A4TTCKZFNR,L-00716,0.54,GOLD,361450,Gold Chain (Man),22K,2024-01-22,ACTIVE,170585,10.74
Ashok Kumar,9350508676,2026-04-16,092UBZBRKX,L-00717,2.12,GOLD,354479,Gold Necklace Set,22K,2025-03-26,ACTIVE,74181,22
Priya Reddy,9724767622,2026-04-08,NGZCEJ65P9,L-00718,2.34,GOLD,248525,Gold Earrings,22K,2023-04-29,OVERDUE,69240,6.28
Deepak Modi,9407023910,2025-10-30,7TQXZFJ1G6,L-00719,1.81,GOLD,48804,Gold Chain (Man),22K,2024-08-04,OVERDUE,6661,6.82
Rajesh Nair,9853309883,2025-12-31,V6GUNOSMGI,L-00720,0.78,GOLD,97187,Gold Necklace Set,22K,2025-03-24,ACTIVE,7813,30.8
Amit Mehta,9662743015,2026-02-01,O53JFPBK24,L-00721,1.11,GOLD,153170,Gold Bracelet,22K,2025-11-06,OVERDUE,3037,30.29
Nitin Jain,9616513584,2026-04-08,KBIGKD6MX8,L-00722,0.90,GOLD,97006,Gold Bracelet,22K,2023-06-30,CLOSED,34713,31.98
Gaurav Patel,9430362562,2025-09-24,47WQ48R9EW,L-00723,2.01,GOLD,27508,Gold Bracelet,22K,2024-01-18,ACTIVE,8895,3.76
Rajesh Chopra,9519611927,2025-11-30,R02RYKAQ7M,L-00724,1.31,GOLD,63871,Gold Bracelet,22K,2024-01-22,ACTIVE,21050,6.1
Anjali Pillai,9166422368,2026-02-14,I7K8IB07ZT,L-00725,1.05,GOLD,120613,Gold Bangles (4 pcs),22K,2023-07-06,ACTIVE,34838,10.96
Meena Jain,9381070256,2025-03-04,53YH93A8SL,L-00726,1.40,GOLD,404651,Gold Bangles (4 pcs),22K,2025-04-20,OVERDUE,47842,7.53
Rajesh Singh,9150214667,2026-12-23,ENB93RE4JF,L-00727,1.84,GOLD,181018,Gold Necklace Set,22K,2025-07-15,ACTIVE,50620,23.16
Meena Modi,9856839519,2026-03-27,DGB14PBXB8,L-00728,2.15,GOLD,170588,Gold Earrings,22K,2025-06-12,ACTIVE,70738,10.98
Anita Bose,9143035382,2025-03-05,8TJJEJETW8,L-00729,1.23,GOLD,353926,Gold Necklace Set,22K,2023-02-18,ACTIVE,26728,9.85
Kavita Patel,9418576318,2026-06-20,Z6XZYXREYM,L-00730,1.64,GOLD,120433,Gold Necklace Set,22K,2025-06-28,ACTIVE,45328,10.19
Manoj Desai,9738575003,2025-06-20,R6XH3C8VC8,L-00731,0.94,GOLD,409260,Gold Necklace Set,22K,2024-09-24,ACTIVE,119685,25.59
Suresh Desai,9197830936,2025-01-14,5SC5N80388,L-00732,1.45,GOLD,355235,Gold Earrings,22K,2023-04-20,ACTIVE,55890,24.12
Rajesh Desai,9731689466,2025-06-06,EQGTGEL3EL,L-00733,1.29,GOLD,312716,Gold Bangles (4 pcs),22K,2023-01-23,OVERDUE,47184,25.38
Rekha Nair,9401621328,2025-11-06,Y1MJIGJNVI,L-00734,0.76,GOLD,491733,Gold Earrings,22K,2024-09-13,ACTIVE,119646,7.63
Suresh Iyer,9999240313,2026-03-22,QTZNK6ZA9A,L-00735,2.08,GOLD,211413,Gold Bangles (4 pcs),22K,2023-03-02,OVERDUE,96321,19.41
Sita Das,9490155195,2025-02-04,JPF6UCF8PW,L-00736,0.68,GOLD,231728,Gold Ring,22K,2025-09-27,OVERDUE,10479,4.11
Nitin Trivedi,9427563647,2026-02-13,UM8TSLZSSI,L-00737,1.14,GOLD,499463,Gold Ring,22K,2024-01-22,OVERDUE,192404,24.26
Amit Desai,9125689005,2026-03-25,5LCPDXNLWZ,L-00738,1.73,GOLD,116389,Gold Necklace Set,22K,2023-10-03,ACTIVE,50402,8.45
Priya Shah,9431903547,2025-01-24,PZO9DKT74D,L-00739,0.74,GOLD,97004,Gold Earrings,22K,2024-12-05,OVERDUE,27205,14.61
Sita Agarwal,9621223632,2026-06-07,7GIM28QOM9,L-00740,1.85,GOLD,468816,Gold Bracelet,22K,2025-06-16,OVERDUE,83110,16.13
Ravi Das,9424371672,2026-06-19,516ZN6FBX3,L-00741,1.28,GOLD,162673,Gold Bracelet,22K,2023-07-31,ACTIVE,60755,14.4
Sita Das,9383707224,2025-12-23,HZ2EMD7PF1,L-00742,2.28,GOLD,163447,Gold Necklace Set,22K,2024-01-22,OVERDUE,72393,2.27
Ravi Patel,9299808589,2026-12-16,10L8XDOGUM,L-00743,1.57,GOLD,432272,Gold Ring,22K,2024-12-06,CLOSED,184625,7.09
Ashok Bose,9798165656,2025-10-18,WVRFF6OETE,L-00744,1.59,GOLD,324834,Gold Bangles (4 pcs),22K,2025-06-08,OVERDUE,58172,6.94
Neha Modi,9695798374,2025-10-27,083CK0WT0L,L-00745,1.51,GOLD,355641,Gold Ring,22K,2024-10-15,OVERDUE,110559,26.52
Suresh Kumar,9884866648,2025-04-21,7E21R9XC4M,L-00746,1.88,GOLD,251865,Gold Bangles (4 pcs),22K,2025-08-27,CLOSED,42984,15.02
Suresh Pillai,9488092531,2026-12-13,90OV0SY2VH,L-00747,2.48,GOLD,203482,Gold Ring,22K,2025-12-15,CLOSED,17586,18.21
Amit Verma,9254632934,2025-07-16,2P1MF8A1O9,L-00748,1.08,GOLD,234082,Gold Necklace Set,22K,2024-10-18,CLOSED,30188,6.59
Amit Singh,9688799124,2026-09-22,2E6BI9A6EG,L-00749,1.03,GOLD,398527,Gold Bracelet,22K,2023-05-04,ACTIVE,62123,14.25
Anjali Chopra,9335719001,2026-11-09,CHCG659BC2,L-00750,2.47,GOLD,303380,Gold Necklace Set,22K,2025-08-23,ACTIVE,54110,8.23
Anjali Jain,9372765891,2026-01-11,O6VAIAAV2Z,L-00751,0.58,GOLD,412018,Gold Chain (Man),22K,2023-10-05,CLOSED,35267,28.45
Suresh Agarwal,9262961825,2026-12-22,NHOFCG5Z1J,L-00752,0.68,GOLD,119405,Gold Chain (Man),22K,2025-03-17,ACTIVE,27736,25.32
Kavita Pillai,9332186922,2026-03-06,WX308F77L3,L-00753,1.71,GOLD,420861,Gold Bracelet,22K,2023-02-01,ACTIVE,7094,24.24
Sita Mehta,9439137054,2026-04-15,WQC5XGS8AD,L-00754,2.39,GOLD,147206,Gold Earrings,22K,2024-05-19,OVERDUE,3323,19.46
Rohit Mehta,9995681391,2025-03-01,4Q5D9ODLJ0,L-00755,1.03,GOLD,110813,Gold Bangles (4 pcs),22K,2024-01-30,ACTIVE,42235,26.74
Kavita Kumar,9110945052,2025-03-10,F89XO8Q30W,L-00756,2.16,GOLD,43821,Gold Ring,22K,2025-11-04,ACTIVE,15837,30.08
Amit Bose,9536652363,2025-01-20,LJAJ6A6Y5N,L-00757,0.86,GOLD,217628,Gold Chain (Man),22K,2024-01-07,OVERDUE,86111,21.39
Anita Modi,9598070101,2025-05-12,UKIUEK3P54,L-00758,2.02,GOLD,132551,Gold Bracelet,22K,2024-09-25,CLOSED,52574,19.36
Arun Singh,9252584568,2026-02-01,KEF17TYMHF,L-00759,2.16,GOLD,327236,Gold Bracelet,22K,2025-02-18,ACTIVE,100927,4.23
Meena Agarwal,9703462644,2026-10-10,1P1QJ9IU2R,L-00760,0.63,GOLD,140893,Gold Bangles (4 pcs),22K,2025-11-01,ACTIVE,26988,10.15
Swati Verma,9904249908,2025-06-17,71WU9QBGY6,L-00761,1.42,GOLD,350367,Gold Necklace Set,22K,2024-11-26,ACTIVE,133498,26.68
Amit Trivedi,9606406172,2025-03-18,H3ZUE5F247,L-00762,1.21,GOLD,43293,Gold Chain (Man),22K,2023-11-16,ACTIVE,20543,2.98
Kavita Sharma,9108227636,2025-07-19,5BU58G19WY,L-00763,2.47,GOLD,241225,Gold Bracelet,22K,2025-01-18,ACTIVE,89552,13.02
Lata Iyer,9960567589,2026-11-04,MK2GNI1U47,L-00764,0.69,GOLD,116333,Gold Necklace Set,22K,2024-08-11,OVERDUE,36181,10.63
Rajesh Reddy,9588011151,2025-10-02,MNSYU8N7LA,L-00765,0.91,GOLD,391510,Gold Bracelet,22K,2023-08-01,ACTIVE,102371,28.21
Sita Sharma,9470049100,2026-07-03,DH61AKPJV4,L-00766,1.49,GOLD,22642,Gold Necklace Set,22K,2025-01-21,ACTIVE,6254,29.26
Sita Nair,9435424487,2025-12-27,3GDDKWTG2A,L-00767,0.96,GOLD,158614,Gold Ring,22K,2023-05-28,CLOSED,14991,6.33
Amit Singh,9314674486,2025-10-31,BEWPJGGL8R,L-00768,0.51,GOLD,462273,Gold Bangles (4 pcs),22K,2023-03-16,CLOSED,116297,27.34
Deepak Iyer,9614938743,2025-03-27,T5AFQX71H2,L-00769,1.59,GOLD,345996,Gold Bangles (4 pcs),22K,2025-09-16,ACTIVE,111015,21.61
Meena Singh,9223400556,2026-01-26,IWBZARJKJP,L-00770,1.89,GOLD,107101,Gold Chain (Man),22K,2024-09-09,OVERDUE,43398,9.45
